KodeOrganisasi|Organisasi
1.20.120|Kota Administrasi Jakarta Barat
1.20.121|Kecamatan Kebon Jeruk - JAKBAR
1.20.122|Kelurahan Sukabumi Selatan - JAKBAR
1.20.123|Kelurahan Sukabumi Utara - JAKBAR
1.20.124|Kelurahan Kelapa Dua - JAKBAR
1.20.125|Kelurahan Duri Kepa - JAKBAR
1.20.126|Kelurahan Kedoya Utara - JAKBAR
1.20.127|Kelurahan Kebon Jeruk - JAKBAR
1.20.128|Kelurahan Kedoya Selatan - JAKBAR
1.20.129|Kecamatan Kembangan - JAKBAR
1.20.130|Kelurahan Kembangan Selatan - JAKBAR
1.20.131|Kelurahan Meruya Utara - JAKBAR
1.20.132|Kelurahan Meruya Selatan - JAKBAR
1.20.133|Kelurahan Srengseng - JAKBAR
1.20.134|Kelurahan Joglo - JAKBAR
1.20.135|Kelurahan Kembangan Utara - JAKBAR
1.20.136|Kecamatan Cengkareng - JAKBAR
1.20.137|Kelurahan Cengkareng Barat - JAKBAR
1.20.138|Kelurahan Cengkareng Timur - JAKBAR
1.20.139|Kelurahan Kapuk - JAKBAR
1.20.140|Kelurahan Duri Kosambi - JAKBAR
1.20.141|Kelurahan Rawa Buaya - JAKBAR
1.20.142|Kelurahan Kedaung Kali Angke - JAKBAR
1.20.143|Kecamatan Kalideres - JAKBAR
1.20.144|Kelurahan Kamal - JAKBAR
1.20.145|Kelurahan Tegal Alur - JAKBAR
1.20.146|Kelurahan Pegadungan - JAKBAR
1.20.147|Kelurahan Kalideres - JAKBAR
1.20.148|Kelurahan Semanan - JAKBAR
1.20.149|Kecamatan Grogol Petamburan - JAKBAR
1.20.150|Kelurahan Tomang - JAKBAR
1.20.151|Kelurahan Tanjung Duren Utara - JAKBAR
1.20.152|Kelurahan Grogol - JAKBAR
1.20.153|Kelurahan Jelambar - JAKBAR
1.20.154|Kelurahan Jelambar Baru - JAKBAR
1.20.155|Kelurahan Wijaya Kusuma - JAKBAR
1.20.156|Kelurahan Tanjung Duren Selatan - JAKBAR
1.20.157|Kecamatan Palmerah - JAKBAR
1.20.158|Kelurahan Palmerah - JAKBAR
1.20.159|Kelurahan Kemanggisan - JAKBAR
1.20.160|Kelurahan Slipi - JAKBAR
1.20.161|Kelurahan Kota Bambu Utara - JAKBAR
1.20.162|Kelurahan Jati Pulo - JAKBAR
1.20.163|Kelurahan Kota Bambu Selatan - JAKBAR
1.20.164|Kecamatan Tambora - JAKBAR
1.20.165|Kelurahan Kalianyar - JAKBAR
1.20.166|Kelurahan Duri Utara - JAKBAR
1.20.167|Kelurahan Tanah Sereal - JAKBAR
1.20.168|Kelurahan Krendang - JAKBAR
1.20.169|Kelurahan Jembatan Besi - JAKBAR
1.20.170|Kelurahan Angke - JAKBAR
1.20.171|Kelurahan Jembatan Lima - JAKBAR
1.20.172|Kelurahan Duri Selatan - JAKBAR
1.20.173|Kelurahan Tambora - JAKBAR
1.20.174|Kelurahan Pekojan - JAKBAR
1.20.175|Kelurahan Roa Malaka - JAKBAR
1.20.176|Kecamatan Taman Sari - JAKBAR
1.20.177|Kelurahan Krukut - JAKBAR
1.20.178|Kelurahan Maphar - JAKBAR
1.20.179|Kelurahan Taman Sari - JAKBAR
1.20.180|Kelurahan Tangki - JAKBAR
1.20.181|Kelurahan Mangga Besar - JAKBAR
1.20.182|Kelurahan Keagungan - JAKBAR
1.20.183|Kelurahan Glodok - JAKBAR
1.20.184|Kelurahan Pinangsia - JAKBAR
1.20.190|Kota Administrasi Jakarta Selatan
1.20.191|Kecamatan Kebayoran Lama - JAKSEL
1.20.192|Kelurahan Kebayoran Lama Utara - JAKSEL
1.20.193|Kelurahan Kebayoran Lama Selatan - JAKSEL
1.20.194|Kelurahan Pondok Pinang - JAKSEL
1.20.195|Kelurahan Cipulir - JAKSEL
1.20.196|Kelurahan Grogol Selatan - JAKSEL
1.20.197|Kelurahan Grogol Utara - JAKSEL
1.20.198|Kecamatan Pesanggrahan - JAKSEL
